Bowl Name,URL
ReliaQuest Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/ReliaQuest%20Bowl/7460563b069c5b69-e1de1210fafc7c0e-00005dd4.png?raw=true
Rose Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Rose%20Bowl/241389f42ed594be-ada751aa01fc7a98-00006214.png?raw=true
Sugar Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Sugar%20Bowl/ccc4dda741f3ecbd-d0386166cebdcf29-00005dd4.png?raw=true
Sun Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Sun%20Bowl/15106776d6a2d7-93b1c85f9ad2e392-00005dd4.png?raw=true
Texas Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Texas%20Bowl/50b04170dc76c04f-63715aa241d4ee67-00005dd4.png?raw=true
AAC Championship,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Conf%20Championships/AAC%20Championship/c1cd9a6706faa106-63715aa241d4ee67-00005dd4.png?raw=true
ACC Championship,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Conf%20Championships/ACC%20Championship/467d6caf02234b75-8e72b2264184af82-00006214.png?raw=true
B1G Championship,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Conf%20Championships/B1G%20Championship/b83e6563e42ecc41-d084061e59ccaae3-00005dd4-dark.png?raw=true
Big XII Champtionship,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Conf%20Championships/Big%20XII%20Championship/d5ff864f9658aefe-dcdb20e7a394c22e-00005dd4.png?raw=true
CUSA Championship,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Conf%20Championships/CUSA%20Championship/1f276458068dd9c0-e25817c85bb67475-00005dd4.png?raw=true
MAC Championship,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Conf%20Championships/MAC%20Championship/3bd228ac401b2edf-330bbeb01995881a-00006214.png?raw=true
Mt West Championship,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Conf%20Championships/Mt%20West%20Championship/fd45cddb4638d62f-65352f89cbb40255-00005dd4.png?raw=true
Pac Championship,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Conf%20Championships/PAC%20Championship/405820b7ae68de75-263c204f670247-00006214.png?raw=true
SEC Championship,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Conf%20Championships/SEC-Championship/1280a11b2f94962c-9a465cec725c1ccf-00005dd4.png?raw=true
Sun Belt Championship,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Conf%20Championships/Sun%20Belt%20Championship/ce774dbf809b00a7-8f2dd34c53ce2287-00005dd4.png?raw=true
CFB Playoff,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Playoffs/Semi-Finals/UI%20Logos/42eac96e8f3046a2-d2bc95bc5b30134f-00005dd4.png?raw=true
National Championship,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Playoffs/Semi-Finals/UI%20Logos/42eac96e8f3046a2-d2bc95bc5b30134f-00005dd4.png?raw=true


